time,pid,name
18-04-30 14-02,1,systemd
18-04-30 14-02,2,kthreadd
18-04-30 14-02,3,ksoftirqd/0
18-04-30 14-02,5,kworker/0:0H
18-04-30 14-02,7,rcu_sched
18-04-30 14-02,8,rcu_bh
18-04-30 14-02,9,migration/0
18-04-30 14-02,10,watchdog/0
18-04-30 14-02,11,kdevtmpfs
18-04-30 14-02,12,netns
18-04-30 14-02,13,perf
18-04-30 14-02,14,khungtaskd
18-04-30 14-02,15,writeback
18-04-30 14-02,16,ksmd
18-04-30 14-02,17,khugepaged
18-04-30 14-02,18,crypto
18-04-30 14-02,19,kintegrityd
18-04-30 14-02,20,bioset
18-04-30 14-02,21,kblockd
18-04-30 14-02,22,ata_sff
18-04-30 14-02,23,md
18-04-30 14-02,24,devfreq_wq
18-04-30 14-02,28,kswapd0
18-04-30 14-02,29,vmstat
18-04-30 14-02,30,fsnotify_mark
18-04-30 14-02,31,ecryptfs-kthrea
18-04-30 14-02,47,kthrotld
18-04-30 14-02,48,acpi_thermal_pm
18-04-30 14-02,49,bioset
18-04-30 14-02,50,bioset
18-04-30 14-02,51,bioset
18-04-30 14-02,52,bioset
18-04-30 14-02,53,bioset
18-04-30 14-02,54,bioset
18-04-30 14-02,55,bioset
18-04-30 14-02,56,bioset
18-04-30 14-02,57,scsi_eh_0
18-04-30 14-02,58,scsi_tmf_0
18-04-30 14-02,59,scsi_eh_1
18-04-30 14-02,60,scsi_tmf_1
18-04-30 14-02,66,ipv6_addrconf
18-04-30 14-02,79,deferwq
18-04-30 14-02,80,charger_manager
18-04-30 14-02,81,bioset
18-04-30 14-02,128,kpsmoused
18-04-30 14-02,130,kworker/0:1H
18-04-30 14-02,131,scsi_eh_2
18-04-30 14-02,132,scsi_tmf_2
18-04-30 14-02,133,bioset
18-04-30 14-02,157,jbd2/sda1-8
18-04-30 14-02,158,ext4-rsv-conver
18-04-30 14-02,186,systemd-journald
18-04-30 14-02,209,kauditd
18-04-30 14-02,225,systemd-udevd
18-04-30 14-02,359,systemd-timesyncd
18-04-30 14-02,497,iprt-VBoxWQueue
18-04-30 14-02,543,ttm_swap
18-04-30 14-02,595,acpid
18-04-30 14-02,602,whoopsie
18-04-30 14-02,603,ModemManager
18-04-30 14-02,606,systemd-logind
18-04-30 14-02,629,cron
18-04-30 14-02,632,accounts-daemon
18-04-30 14-02,635,dbus-daemon
18-04-30 14-02,681,NetworkManager
18-04-30 14-02,683,cupsd
18-04-30 14-02,685,rsyslogd
18-04-30 14-02,687,avahi-daemon
18-04-30 14-02,693,avahi-daemon
18-04-30 14-02,694,snapd
18-04-30 14-02,762,sshd
18-04-30 14-02,764,cups-browsed
18-04-30 14-02,768,polkitd
